timestamp,filename,maze_size,seed,algorithm,generation_time_ms,ram_peak_mb,file_size_bytes,backtrack_count,edges_processed,union_find_operations
2025-09-16 19:01:40,kruskal_strict_10_94.txt,10,94,kruskal,0.89,18.01,483,0,180,626
2025-09-16 19:01:40,kruskal_strict_10_95.txt,10,95,kruskal,1.12,18.01,483,0,180,593
2025-09-16 19:01:40,kruskal_strict_10_96.txt,10,96,kruskal,1.32,18.01,483,0,180,601
2025-09-16 19:01:40,kruskal_strict_10_97.txt,10,97,kruskal,0.95,18.01,483,0,180,637
2025-09-16 19:01:40,kruskal_strict_10_98.txt,10,98,kruskal,2.54,18.01,483,0,180,497
2025-09-16 19:01:40,kruskal_strict_10_99.txt,10,99,kruskal,1.21,18.01,483,0,180,707
2025-09-16 19:01:40,kruskal_strict_10_100.txt,10,100,kruskal,1.97,18.01,483,0,180,620
2025-09-16 19:01:40,kruskal_strict_50_1.txt,50,1,kruskal,13.24,18.91,10403,0,4900,20651
2025-09-16 19:01:40,kruskal_strict_50_2.txt,50,2,kruskal,14.54,18.93,10403,0,4900,19941
2025-09-16 19:01:40,kruskal_strict_50_3.txt,50,3,kruskal,12.31,18.93,10403,0,4900,19726
2025-09-16 19:01:40,kruskal_strict_50_4.txt,50,4,kruskal,11.16,18.93,10403,0,4900,19092
2025-09-16 19:01:40,kruskal_strict_50_5.txt,50,5,kruskal,11.79,18.93,10403,0,4900,19513
2025-09-16 19:01:40,kruskal_strict_50_6.txt,50,6,kruskal,11.09,18.93,10403,0,4900,18294
2025-09-16 19:01:40,kruskal_strict_50_7.txt,50,7,kruskal,11.98,18.93,10403,0,4900,20684
2025-09-16 19:01:40,kruskal_strict_50_8.txt,50,8,kruskal,10.72,18.94,10403,0,4900,18515
2025-09-16 19:01:40,kruskal_strict_50_9.txt,50,9,kruskal,10.23,18.94,10403,0,4900,19764
2025-09-16 19:01:40,kruskal_strict_50_10.txt,50,10,kruskal,10.1,18.94,10403,0,4900,19655
2025-09-16 19:01:40,kruskal_strict_50_11.txt,50,11,kruskal,9.8,18.94,10403,0,4900,19449
2025-09-16 19:01:40,kruskal_strict_50_12.txt,50,12,kruskal,11.28,18.94,10403,0,4900,19702
2025-09-16 19:01:40,kruskal_strict_50_13.txt,50,13,kruskal,11.67,18.94,10403,0,4900,19301
2025-09-16 19:01:40,kruskal_strict_50_14.txt,50,14,kruskal,12.52,18.94,10403,0,4900,19374
2025-09-16 19:01:40,kruskal_strict_50_15.txt,50,15,kruskal,12.49,18.94,10403,0,4900,20167
2025-09-16 19:01:40,kruskal_strict_50_16.txt,50,16,kruskal,14.69,18.95,10403,0,4900,20581
2025-09-16 19:01:40,kruskal_strict_50_17.txt,50,17,kruskal,47.26,18.96,10403,0,4900,20906
2025-09-16 19:01:40,kruskal_strict_50_18.txt,50,18,kruskal,19.12,18.96,10403,0,4900,19993
2025-09-16 19:01:40,kruskal_strict_50_19.txt,50,19,kruskal,10.36,18.96,10403,0,4900,18494
2025-09-16 19:01:40,kruskal_strict_50_20.txt,50,20,kruskal,9.98,18.96,10403,0,4900,20050
2025-09-16 19:01:40,kruskal_strict_50_21.txt,50,21,kruskal,10.38,18.96,10403,0,4900,18435
2025-09-16 19:01:40,kruskal_strict_50_22.txt,50,22,kruskal,11.32,18.96,10403,0,4900,20199
2025-09-16 19:01:40,kruskal_strict_50_23.txt,50,23,kruskal,11.97,18.96,10403,0,4900,19782
2025-09-16 19:01:40,kruskal_strict_50_24.txt,50,24,kruskal,10.39,18.96,10403,0,4900,19803
2025-09-16 19:01:40,kruskal_strict_50_25.txt,50,25,kruskal,11.06,18.96,10403,0,4900,18871
2025-09-16 19:01:40,kruskal_strict_50_26.txt,50,26,kruskal,10.96,18.96,10403,0,4900,18780
2025-09-16 19:01:40,kruskal_strict_50_27.txt,50,27,kruskal,10.57,18.96,10403,0,4900,19670
2025-09-16 19:01:40,kruskal_strict_50_28.txt,50,28,kruskal,9.9,18.96,10403,0,4900,19107
2025-09-16 19:01:40,kruskal_strict_50_29.txt,50,29,kruskal,9.65,18.96,10403,0,4900,19824
2025-09-16 19:01:40,kruskal_strict_50_30.txt,50,30,kruskal,9.15,18.96,10403,0,4900,19851
2025-09-16 19:01:40,kruskal_strict_50_31.txt,50,31,kruskal,9.41,18.96,10403,0,4900,17930
2025-09-16 19:01:40,kruskal_strict_50_32.txt,50,32,kruskal,10.27,18.96,10403,0,4900,21307
2025-09-16 19:01:40,kruskal_strict_50_33.txt,50,33,kruskal,9.16,18.96,10403,0,4900,19019
2025-09-16 19:01:40,kruskal_strict_50_34.txt,50,34,kruskal,11.82,18.96,10403,0,4900,21152
2025-09-16 19:01:40,kruskal_strict_50_35.txt,50,35,kruskal,10.63,18.96,10403,0,4900,20675
2025-09-16 19:01:40,kruskal_strict_50_36.txt,50,36,kruskal,9.92,18.96,10403,0,4900,17910
2025-09-16 19:01:40,kruskal_strict_50_37.txt,50,37,kruskal,10.74,18.96,10403,0,4900,20236
2025-09-16 19:01:41,kruskal_strict_50_38.txt,50,38,kruskal,10.47,18.96,10403,0,4900,19788
2025-09-16 19:01:41,kruskal_strict_50_39.txt,50,39,kruskal,10.06,18.96,10403,0,4900,20613
2025-09-16 19:01:41,kruskal_strict_50_40.txt,50,40,kruskal,9.24,18.96,10403,0,4900,17972
2025-09-16 19:01:41,kruskal_strict_50_41.txt,50,41,kruskal,9.14,18.96,10403,0,4900,19083
2025-09-16 19:01:41,kruskal_strict_50_42.txt,50,42,kruskal,12.49,18.96,10403,0,4900,20940
2025-09-16 19:01:41,kruskal_strict_50_43.txt,50,43,kruskal,10.73,18.96,10403,0,4900,19634
2025-09-16 19:01:41,kruskal_strict_50_44.txt,50,44,kruskal,9.34,18.96,10403,0,4900,18518
2025-09-16 19:01:41,kruskal_strict_50_45.txt,50,45,kruskal,10.62,18.96,10403,0,4900,19696
2025-09-16 19:01:41,kruskal_strict_50_46.txt,50,46,kruskal,10.79,18.96,10403,0,4900,19255
2025-09-16 19:01:41,kruskal_strict_50_47.txt,50,47,kruskal,9.12,18.96,10403,0,4900,18711
2025-09-16 19:01:41,kruskal_strict_50_48.txt,50,48,kruskal,9.58,18.96,10403,0,4900,18032
2025-09-16 19:01:41,kruskal_strict_50_49.txt,50,49,kruskal,9.78,18.96,10403,0,4900,19120
2025-09-16 19:01:41,kruskal_strict_50_50.txt,50,50,kruskal,10.31,18.96,10403,0,4900,19272
2025-09-16 19:01:41,kruskal_strict_50_51.txt,50,51,kruskal,11.06,18.96,10403,0,4900,19358
2025-09-16 19:01:41,kruskal_strict_50_52.txt,50,52,kruskal,10.13,18.96,10403,0,4900,19205
2025-09-16 19:01:41,kruskal_strict_50_53.txt,50,53,kruskal,9.7,18.96,10403,0,4900,20528
2025-09-16 19:01:41,kruskal_strict_50_54.txt,50,54,kruskal,10.89,18.96,10403,0,4900,19196
2025-09-16 19:01:41,kruskal_strict_50_55.txt,50,55,kruskal,8.94,18.96,10403,0,4900,19171
2025-09-16 19:01:41,kruskal_strict_50_56.txt,50,56,kruskal,9.96,18.96,10403,0,4900,20195
2025-09-16 19:01:41,kruskal_strict_50_57.txt,50,57,kruskal,10.56,18.96,10403,0,4900,19755
2025-09-16 19:01:41,kruskal_strict_50_58.txt,50,58,kruskal,10.24,18.96,10403,0,4900,19069
2025-09-16 19:01:41,kruskal_strict_50_59.txt,50,59,kruskal,10.02,18.96,10403,0,4900,18989
2025-09-16 19:01:41,kruskal_strict_50_60.txt,50,60,kruskal,9.51,18.96,10403,0,4900,19843
2025-09-16 19:01:41,kruskal_strict_50_61.txt,50,61,kruskal,9.2,18.96,10403,0,4900,19693
2025-09-16 19:01:41,kruskal_strict_50_62.txt,50,62,kruskal,14.63,18.96,10403,0,4900,18484
2025-09-16 19:01:41,kruskal_strict_50_63.txt,50,63,kruskal,9.85,18.96,10403,0,4900,18590
2025-09-16 19:01:41,kruskal_strict_50_64.txt,50,64,kruskal,9.81,18.96,10403,0,4900,20081
2025-09-16 19:01:41,kruskal_strict_50_65.txt,50,65,kruskal,10.8,18.96,10403,0,4900,19041
2025-09-16 19:01:41,kruskal_strict_50_66.txt,50,66,kruskal,16.07,18.96,10403,0,4900,19498
2025-09-16 19:01:41,kruskal_strict_50_67.txt,50,67,kruskal,10.15,18.96,10403,0,4900,20496
2025-09-16 19:01:41,kruskal_strict_50_68.txt,50,68,kruskal,8.87,18.96,10403,0,4900,19146
2025-09-16 19:01:41,kruskal_strict_50_69.txt,50,69,kruskal,9.2,18.96,10403,0,4900,19688
2025-09-16 19:01:41,kruskal_strict_50_70.txt,50,70,kruskal,8.54,18.96,10403,0,4900,18537
2025-09-16 19:01:41,kruskal_strict_50_71.txt,50,71,kruskal,8.85,18.96,10403,0,4900,18645
2025-09-16 19:01:41,kruskal_strict_50_72.txt,50,72,kruskal,8.53,18.96,10403,0,4900,20558
2025-09-16 19:01:41,kruskal_strict_50_73.txt,50,73,kruskal,11.54,18.96,10403,0,4900,19875
2025-09-16 19:01:41,kruskal_strict_50_74.txt,50,74,kruskal,11.74,18.96,10403,0,4900,19279
2025-09-16 19:01:41,kruskal_strict_50_75.txt,50,75,kruskal,11.52,18.96,10403,0,4900,19829
2025-09-16 19:01:41,kruskal_strict_50_76.txt,50,76,kruskal,9.19,18.96,10403,0,4900,18585
2025-09-16 19:01:41,kruskal_strict_50_77.txt,50,77,kruskal,9.35,18.96,10403,0,4900,19053
2025-09-16 19:01:41,kruskal_strict_50_78.txt,50,78,kruskal,8.98,18.96,10403,0,4900,18609
2025-09-16 19:01:41,kruskal_strict_50_79.txt,50,79,kruskal,10.32,18.97,10403,0,4900,19169
2025-09-16 19:01:41,kruskal_strict_50_80.txt,50,80,kruskal,10.0,18.97,10403,0,4900,18806
2025-09-16 19:01:41,kruskal_strict_50_81.txt,50,81,kruskal,9.9,18.97,10403,0,4900,19348
2025-09-16 19:01:41,kruskal_strict_50_82.txt,50,82,kruskal,14.18,18.97,10403,0,4900,20242
2025-09-16 19:01:41,kruskal_strict_50_83.txt,50,83,kruskal,14.94,18.97,10403,0,4900,19417
2025-09-16 19:01:41,kruskal_strict_50_84.txt,50,84,kruskal,10.75,18.97,10403,0,4900,19977
2025-09-16 19:01:41,kruskal_strict_50_85.txt,50,85,kruskal,9.1,18.97,10403,0,4900,20158
2025-09-16 19:01:41,kruskal_strict_50_86.txt,50,86,kruskal,10.41,18.97,10403,0,4900,21611
2025-09-16 19:01:41,kruskal_strict_50_87.txt,50,87,kruskal,10.74,18.97,10403,0,4900,18804
2025-09-16 19:01:41,kruskal_strict_50_88.txt,50,88,kruskal,9.11,18.97,10403,0,4900,20050
2025-09-16 19:01:41,kruskal_strict_50_89.txt,50,89,kruskal,9.67,18.97,10403,0,4900,18870
2025-09-16 19:01:41,kruskal_strict_50_90.txt,50,90,kruskal,11.01,18.97,10403,0,4900,19536
2025-09-16 19:01:41,kruskal_strict_50_91.txt,50,91,kruskal,9.39,18.97,10403,0,4900,17840
2025-09-16 19:01:41,kruskal_strict_50_92.txt,50,92,kruskal,11.59,18.97,10403,0,4900,19704
2025-09-16 19:01:41,kruskal_strict_50_93.txt,50,93,kruskal,8.95,18.97,10403,0,4900,19344
2025-09-16 19:01:41,kruskal_strict_50_94.txt,50,94,kruskal,10.41,18.97,10403,0,4900,19339
2025-09-16 19:01:41,kruskal_strict_50_95.txt,50,95,kruskal,10.04,18.97,10403,0,4900,19269
2025-09-16 19:01:41,kruskal_strict_50_96.txt,50,96,kruskal,10.06,18.97,10403,0,4900,19296
2025-09-16 19:01:41,kruskal_strict_50_97.txt,50,97,kruskal,10.21,18.97,10403,0,4900,19876
2025-09-16 19:01:41,kruskal_strict_50_98.txt,50,98,kruskal,10.9,18.97,10403,0,4900,20488
2025-09-16 19:01:41,kruskal_strict_50_99.txt,50,99,kruskal,9.98,18.97,10403,0,4900,19144
2025-09-16 19:01:41,kruskal_strict_50_100.txt,50,100,kruskal,9.88,18.97,10403,0,4900,19313
2025-09-16 19:01:41,kruskal_strict_100_1.txt,100,1,kruskal,49.52,21.66,40803,0,19800,85788
2025-09-16 19:01:41,kruskal_strict_100_2.txt,100,2,kruskal,52.34,21.67,40803,0,19800,80290
2025-09-16 19:01:41,kruskal_strict_100_3.txt,100,3,kruskal,59.65,21.67,40803,0,19800,84693
2025-09-16 19:01:41,kruskal_strict_100_4.txt,100,4,kruskal,51.69,21.67,40803,0,19800,79464
2025-09-16 19:01:41,kruskal_strict_100_5.txt,100,5,kruskal,44.45,21.67,40803,0,19800,85706
2025-09-16 19:01:41,kruskal_strict_100_6.txt,100,6,kruskal,39.63,21.67,40803,0,19800,84068
2025-09-16 19:01:41,kruskal_strict_100_7.txt,100,7,kruskal,41.86,21.67,40803,0,19800,85951
2025-09-16 19:01:42,kruskal_strict_100_8.txt,100,8,kruskal,48.87,21.62,40803,0,19800,80388
2025-09-16 19:01:42,kruskal_strict_100_9.txt,100,9,kruskal,57.9,22.29,40803,0,19800,79421
2025-09-16 19:01:42,kruskal_strict_100_10.txt,100,10,kruskal,41.68,22.33,40803,0,19800,77964
2025-09-16 19:01:42,kruskal_strict_100_11.txt,100,11,kruskal,49.42,22.37,40803,0,19800,79819
2025-09-16 19:01:42,kruskal_strict_100_12.txt,100,12,kruskal,44.91,21.96,40803,0,19800,81212
2025-09-16 19:01:42,kruskal_strict_100_13.txt,100,13,kruskal,38.42,21.97,40803,0,19800,83245
2025-09-16 19:01:42,kruskal_strict_100_14.txt,100,14,kruskal,60.13,22.3,40803,0,19800,82567
2025-09-16 19:01:42,kruskal_strict_100_15.txt,100,15,kruskal,53.31,21.92,40803,0,19800,81417
2025-09-16 19:01:42,kruskal_strict_100_16.txt,100,16,kruskal,41.71,21.92,40803,0,19800,77714
2025-09-16 19:01:42,kruskal_strict_100_17.txt,100,17,kruskal,39.22,21.93,40803,0,19800,79387
2025-09-16 19:01:42,kruskal_strict_100_18.txt,100,18,kruskal,41.49,22.33,40803,0,19800,83388
2025-09-16 19:01:42,kruskal_strict_100_19.txt,100,19,kruskal,42.09,22.34,40803,0,19800,83514
2025-09-16 19:01:42,kruskal_strict_100_20.txt,100,20,kruskal,41.26,22.29,40803,0,19800,82527
2025-09-16 19:01:42,kruskal_strict_100_21.txt,100,21,kruskal,47.51,21.99,40803,0,19800,81640
2025-09-16 19:01:42,kruskal_strict_100_22.txt,100,22,kruskal,48.72,22.05,40803,0,19800,85373
2025-09-16 19:01:42,kruskal_strict_100_23.txt,100,23,kruskal,42.08,22.09,40803,0,19800,82438
2025-09-16 19:01:42,kruskal_strict_100_24.txt,100,24,kruskal,37.51,22.39,40803,0,19800,81835
2025-09-16 19:01:42,kruskal_strict_100_25.txt,100,25,kruskal,42.3,22.43,40803,0,19800,79984
2025-09-16 19:01:42,kruskal_strict_100_26.txt,100,26,kruskal,39.97,22.39,40803,0,19800,79147
2025-09-16 19:01:42,kruskal_strict_100_27.txt,100,27,kruskal,51.91,22.0,40803,0,19800,79251
2025-09-16 19:01:42,kruskal_strict_100_28.txt,100,28,kruskal,53.95,22.38,40803,0,19800,81555
2025-09-16 19:01:43,kruskal_strict_100_29.txt,100,29,kruskal,47.49,22.02,40803,0,19800,84602
2025-09-16 19:01:43,kruskal_strict_100_30.txt,100,30,kruskal,44.1,22.4,40803,0,19800,81987
2025-09-16 19:01:43,kruskal_strict_100_31.txt,100,31,kruskal,43.22,22.39,40803,0,19800,78891
2025-09-16 19:01:43,kruskal_strict_100_32.txt,100,32,kruskal,50.69,22.03,40803,0,19800,81804
2025-09-16 19:01:43,kruskal_strict_100_33.txt,100,33,kruskal,53.09,22.43,40803,0,19800,84064
2025-09-16 19:01:43,kruskal_strict_100_34.txt,100,34,kruskal,42.84,22.39,40803,0,19800,81071
2025-09-16 19:01:43,kruskal_strict_100_35.txt,100,35,kruskal,48.63,22.02,40803,0,19800,82738
2025-09-16 19:01:43,kruskal_strict_100_36.txt,100,36,kruskal,43.26,22.0,40803,0,19800,83367
2025-09-16 19:01:43,kruskal_strict_100_37.txt,100,37,kruskal,45.45,22.42,40803,0,19800,84505
2025-09-16 19:01:43,kruskal_strict_100_38.txt,100,38,kruskal,38.73,22.38,40803,0,19800,79882
2025-09-16 19:01:43,kruskal_strict_100_39.txt,100,39,kruskal,41.57,22.06,40803,0,19800,83071
2025-09-16 19:01:43,kruskal_strict_100_40.txt,100,40,kruskal,48.46,22.07,40803,0,19800,78924
2025-09-16 19:01:43,kruskal_strict_100_41.txt,100,41,kruskal,60.58,22.02,40803,0,19800,81434
2025-09-16 19:01:43,kruskal_strict_100_42.txt,100,42,kruskal,45.15,22.03,40803,0,19800,79238
2025-09-16 19:01:43,kruskal_strict_100_43.txt,100,43,kruskal,39.44,22.41,40803,0,19800,79739
2025-09-16 19:01:43,kruskal_strict_100_44.txt,100,44,kruskal,38.02,22.4,40803,0,19800,82669
2025-09-16 19:01:43,kruskal_strict_100_45.txt,100,45,kruskal,38.85,22.04,40803,0,19800,80887
2025-09-16 19:01:43,kruskal_strict_100_46.txt,100,46,kruskal,42.25,22.41,40803,0,19800,82559
2025-09-16 19:01:43,kruskal_strict_100_47.txt,100,47,kruskal,42.92,22.07,40803,0,19800,81956
2025-09-16 19:01:43,kruskal_strict_100_48.txt,100,48,kruskal,55.04,22.02,40803,0,19800,80528
2025-09-16 19:01:43,kruskal_strict_100_49.txt,100,49,kruskal,41.52,22.42,40803,0,19800,85541
2025-09-16 19:01:43,kruskal_strict_100_50.txt,100,50,kruskal,40.55,22.39,40803,0,19800,82975
2025-09-16 19:01:44,kruskal_strict_100_51.txt,100,51,kruskal,44.42,22.43,40803,0,19800,82193
2025-09-16 19:01:44,kruskal_strict_100_52.txt,100,52,kruskal,47.52,22.04,40803,0,19800,80003
2025-09-16 19:01:44,kruskal_strict_100_53.txt,100,53,kruskal,45.37,22.43,40803,0,19800,85076
